Unnamed: 0,track_id,artists,album_name_x,track_name_x,popularity,duration_ms,explicit_x,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_genre_lower,track_name_y,track_number,track_popularity,explicit_y,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name_y,album_release_date,album_total_tracks,album_type,track_duration_min
53000,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers;Halsey,Closer,Closer,84,244960,False,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,4,house,house,Closer,1.0,86.0,False,The Chainsmokers,80.0,21360805.0,,0rSLgV8p5FzfnqlEk4GzxE,Closer,2016-07-29,1.0,single,4.08
53001,5uEYRdEIh9Bo4fpjDd4Na9,Travis Scott;HVME,Goosebumps (Remix),Goosebumps - Remix,81,162802,True,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,4,house,house,Goosebumps - Remix,1.0,73.0,True,Travis Scott,89.0,41131037.0,rap,3SdFuYwyWoq7kuaHdTDcyD,Goosebumps (Remix),2021-01-15,1.0,single,2.71
53002,7ef4DlsgrMEH11cDZd32M6,Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),89,214846,False,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4,house,house,One Kiss (with Dua Lipa),1.0,79.0,False,Calvin Harris,84.0,23078931.0,edm,7GEzhoTiqcPYkOprWQu581,One Kiss (with Dua Lipa),2018-04-06,1.0,single,3.58
53003,4n7jnSxVLd8QioibtTDBDq,Alan Walker;Sabrina Carpenter;Farruko,On My Way,On My Way,74,193797,True,0.509,0.689,1,-4.929,0,0.102,0.0209,0.0,0.301,0.297,170.087,4,house,house,On My Way,1.0,73.0,True,Alan Walker,78.0,41268567.0,,1bcvtuHyO79DNAOOhHEkEm,On My Way,2019-03-21,1.0,single,3.22
53004,2dpaYNEQHiRxtZbfNsse99,Marshmello;Bastille,Happier,Happier,83,214289,False,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4,house,house,,,,,,,,,,,,,,
53005,08bNPGLD8AhKpnnERrAc6G,Marshmello;Anne-Marie,FRIENDS,FRIENDS,79,202620,True,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,4,house,house,FRIENDS,1.0,17.0,True,Marshmello,80.0,34476607.0,edm,1BmxOYHjQv1dKZRr13YRZM,FRIENDS,2018-02-09,1.0,single,3.37
53006,7BhmwvCdQZNwuQXSHw5TzP,Alok;Alan Walker;KIDDO,Headlights (feat. KIDDO),Headlights (feat. KIDDO),70,158400,False,0.626,0.754,2,-6.217,0,0.0269,0.00998,0.00404,0.157,0.317,100.015,4,house,house,Headlights (feat. KIDDO),1.0,68.0,False,Alok,76.0,11247155.0,"brazilian bass, electronic, slap house, electro house",61SLEqJbw0XtTOmXUXAoEW,Headlights (feat. KIDDO),2022-02-18,1.0,single,2.64
53007,3eR23VReFzcdmS7TYCrhCe,Kygo;Selena Gomez,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),77,220780,False,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,4,house,house,It Ain't Me (with Selena Gomez),1.0,76.0,False,Kygo,76.0,8670011.0,tropical house,0IUCAsckpNyV4wHKIHQawC,It Ain't Me (with Selena Gomez),2017-02-16,1.0,single,3.67
53008,3g0mEQx3NTanacLseoP0Gw,The Chainsmokers;ILLENIUM;Lennon Stella,World War Joy,Takeaway,75,209880,False,0.528,0.511,3,-8.144,1,0.0324,0.126,0.0,0.101,0.351,100.1,4,house,house,Takeaway,6.0,68.0,False,The Chainsmokers,80.0,21359561.0,,01GR4NL5O5CZM51k0aejKD,World War Joy,2019-12-06,10.0,album,3.49
53009,23L5CiUhw2jV1OIMwthR3S,Martin Garrix;Bebe Rexha,In the Name of Love,In the Name of Love,79,195706,False,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,4,house,house,In the Name of Love,1.0,78.0,False,Martin Garrix,74.0,15121577.0,"edm, progressive house, electronica",1FOJ5IXGXe8dl0cXvCU6wK,In the Name of Love,2016-07-29,1.0,single,3.26
53010,0VO8gYVDSwM1Qdd2GsMoYK,Swedish House Mafia;The Weeknd,Paradise Again,Moth To A Flame (with The Weeknd),83,234000,False,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,4,house,house,,,,,,,,,,,,,,
53011,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers;Coldplay,Memories...Do Not Open,Something Just Like This,85,247160,False,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4,house,house,Something Just Like This,5.0,86.0,False,The Chainsmokers,80.0,21359561.0,,4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,2017-04-07,12.0,album,4.11
53012,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers;Daya,Don't Let Me Down,Don't Let Me Down,80,208373,False,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,4,house,house,Don't Let Me Down,1.0,82.0,False,The Chainsmokers,80.0,21360805.0,,2SByipSK8eZ2pasaIwwzhf,Don't Let Me Down,2016-02-05,1.0,single,3.47
53013,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,Speak Your Mind (Deluxe),2002,82,186986,False,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,4,house,house,2002,10.0,78.0,False,Anne-Marie,75.0,12845551.0,,7lPoGKpCGgdKFAxpudhAH5,Speak Your Mind (Deluxe),2018-04-27,18.0,album,3.11
